n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
163,2,3647.6025,3646.5634,2.137035e-04,1.607249e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
164,2,3647.5958,3646.5567,2.124005e-04,1.597450e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
165,2,3647.5893,3646.5502,2.111134e-04,1.587770e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
166,2,3647.5828,3646.5437,2.098418e-04,1.578206e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
167,2,3647.5765,3646.5374,2.085854e-04,1.568756e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
168,2,3647.5703,3646.5312,2.073439e-04,1.559420e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
169,2,3647.5642,3646.5251,2.061172e-04,1.550193e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
170,2,3647.5582,3646.5191,2.049048e-04,1.541075e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
171,2,3647.5523,3646.5132,2.037067e-04,1.532064e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
172,2,3647.5465,3646.5075,2.025224e-04,1.523158e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
173,2,3647.5409,3646.5018,2.013519e-04,1.514354e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
174,2,3647.5353,3646.4962,2.001948e-04,1.505652e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
175,2,3647.5298,3646.4907,1.990510e-04,1.497049e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
176,2,3647.5244,3646.4853,1.979201e-04,1.488544e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
177,2,3647.5191,3646.4800,1.968020e-04,1.480135e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
178,2,3647.5139,3646.4748,1.956965e-04,1.471820e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
179,2,3647.5087,3646.4696,1.946033e-04,1.463598e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
180,2,3647.5037,3646.4646,1.935223e-04,1.455468e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
181,2,3647.4987,3646.4596,1.924532e-04,1.447428e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
182,2,3647.4938,3646.4548,1.913959e-04,1.439475e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
183,2,3647.4890,3646.4500,1.903501e-04,1.431610e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
184,2,3647.4843,3646.4452,1.893157e-04,1.423830e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
185,2,3647.4797,3646.4406,1.882924e-04,1.416135e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
186,2,3647.4751,3646.4360,1.872802e-04,1.408522e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
187,2,3647.4706,3646.4315,1.862788e-04,1.400990e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
188,2,3647.4662,3646.4271,1.852880e-04,1.393539e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
189,2,3647.4618,3646.4227,1.843077e-04,1.386166e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
190,2,3647.4575,3646.4184,1.833378e-04,1.378871e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
191,2,3647.4533,3646.4142,1.823780e-04,1.371652e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
192,2,3647.4491,3646.4101,1.814281e-04,1.364509e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
193,2,3647.4451,3646.4060,1.804882e-04,1.357439e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
194,2,3647.4410,3646.4020,1.795579e-04,1.350443e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
195,2,3647.4371,3646.3980,1.786372e-04,1.343518e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
196,2,3647.4332,3646.3941,1.777258e-04,1.336664e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
197,2,3647.4293,3646.3902,1.768237e-04,1.329879e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
198,2,3647.4255,3646.3865,1.759307e-04,1.323163e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
199,2,3647.4218,3646.3827,1.750467e-04,1.316515e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
200,2,3647.4181,3646.3790,1.741716e-04,1.309933e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
201,2,3647.4145,3646.3754,1.733051e-04,1.303416e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
202,2,3647.4109,3646.3719,1.724472e-04,1.296964e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
203,2,3647.4074,3646.3683,1.715978e-04,1.290575e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
204,2,3647.4039,3646.3649,1.707567e-04,1.284249e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
205,2,3647.4005,3646.3615,1.699238e-04,1.277985e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
206,2,3647.3972,3646.3581,1.690990e-04,1.271782e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
207,2,3647.3939,3646.3548,1.682821e-04,1.265638e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
208,2,3647.3906,3646.3515,1.674731e-04,1.259554e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
